"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"84",115391.517065287,296480.74780685,270761.251387442,20.596863279834,22.1131127718347,21.6604558013239
"85",122731.060068317,310242.359990248,291494.982928004,20.2449539078686,22.3553850271827,21.0611396530895
"86",123356.747558789,295777.490374996,273509.944757228,21.3288682705321,23.2261443428228,21.93959706705
"87",122363.015988248,370921.467221668,332572.271245009,19.4456271965304,21.3829888559315,20.1410323838183
"88",108562.91843434,288509.241658507,274272.404251005,20.3073512343511,22.1797520433177,20.9761996299883
"89",113358.128210785,290047.025511451,264760.629426884,20.1088869839096,22.1969877834251,20.8383663812489
"90",97051.359392387,218153.788190351,200124.717151944,22.9477905006598,24.2975907085239,23.5425815321584
"91",135238.003477779,347822.249135562,326766.411388362,19.4049290876797,21.5440889873523,20.0757799829254
"92",129506.199949778,341322.375167402,296317.877162227,19.7770832269462,21.519207585136,20.6513802891265
"93",134172.13547791,340809.468834146,302918.356992281,19.6369835191708,22.0125127723449,20.3731581144943
"94",116690.961047164,327905.553851977,286561.149728895,19.7943139274116,21.860149959188,20.8662310094819
"95",131453.205027451,345829.343404557,320321.057471798,19.5501293404135,21.5911384634806,20.0659607963895
"96",145333.40339066,336948.742848334,312120.968228516,19.634809067356,21.9987636375837,20.3948619795001
"97",112036.495818,267253.664012759,245865.026469615,21.9362378104726,23.4533984035504,22.6787982593444
"98",108702.103723213,304465.536796662,265559.05943894,20.8327008304496,22.4828403524844,21.6620316667285
"99",120486.872661227,307428.565079722,278599.284596478,19.8174947306425,21.6173531849414,20.7156023240005
"100",112269.801372779,299808.867053394,288516.1941511,20.3036216190543,22.106723512084,20.7865171737339
"101",122040.543211264,331243.724853276,320362.166249049,19.2004904518441,21.33333684016,19.8894584912301
"102",131524.16939484,314491.659120924,310461.787570413,20.0482386963665,22.128814726877,20.4026495710005
"103",111926.463114467,272888.304529658,226597.0212215,21.8087460860481,23.2995700696091,22.7086040650829
"104",112752.894963425,276280.854836576,244240.881006061,21.4874615628201,23.0584659964903,22.42499184094
"105",114705.999743767,268277.170931222,251770.386918717,21.1140907330315,23.0248953842758,21.8825882387222
"106",129283.174531546,341743.004405301,321218.852818499,19.3571723127819,21.6589654024862,19.7610243777609
"107",119760.630998701,297004.392054538,272589.755389919,21.0088292426794,22.703807634156,21.6965913175867
"108",119696.022685365,274813.712633882,251632.969981516,21.7606031333563,23.2337286294959,22.5334061235223
"109",128883.56248177,373266.654634447,356149.611165401,18.5264154093007,20.4837831154898,19.2334689363514
"110",111777.677871907,280600.117852122,265646.601378682,21.185938339239,22.9509188703621,21.9524558007779
"111",119006.736642959,275330.110860512,237387.887403549,21.8934546110098,23.5487332612367,22.6962374219981
"112",123277.498103236,338462.249394235,311138.841866594,19.8341491864375,21.7380294804067,20.6181256581291
"113",137093.25884693,339001.257628228,282991.245167376,20.0150547293908,22.1247862101103,20.9836502675992
"114",107503.321271664,288220.058534035,286751.27495897,20.3305158562336,22.1652085068809,20.9507485799571
"115",115614.017328752,287231.762810499,252525.836977935,21.3261828644218,23.0440469255068,22.0218227871773
"116",111820.096044949,299881.003855482,273821.378984405,20.7160300986874,22.4231945723391,21.3909294234267
"117",117321.990931841,270887.708557622,255889.317251838,21.5426510574167,23.3774387949138,22.305704312387
"118",116764.894095128,290109.97191927,251419.294941511,21.7738444223959,23.2475962632643,22.4853170069722
"119",115367.199413541,272936.711241597,240488.255857275,20.8501814018269,22.6744525519913,21.6610781803513
"120",135083.798070091,358454.222229871,330005.29801044,19.3295828484506,21.3194686478159,19.9667492574214
"121",113329.577131966,279764.087220949,254657.019422376,20.6266566922132,22.8256881158068,21.4497071123734
"122",120611.347314274,301295.888870261,269924.667774909,20.3892140050461,22.4106537548686,21.2113642551606
"123",122750.255845598,303475.244439302,280049.360145224,20.6800891953336,22.6662847957294,21.3774703369436
"124",112432.452339511,260289.912145737,240357.83151158,21.9891132145723,23.4991545231629,22.6346937599304
"125",123130.005310591,305070.554516104,274377.826647327,20.1257926262434,21.9252182871285,21.2650602997781
"126",128016.419548584,329634.082634354,302601.790349798,20.0496106246712,22.1077013473673,20.7794638355382
"127",113434.758929486,285627.950821701,246164.114822624,21.3489054951892,23.0685577199517,22.3199032223131
"128",116773.840565249,287526.811711389,276759.132182273,20.4311145742078,22.2900070740847,21.1594646149144
"129",122602.182246356,321865.241364835,284686.745493471,19.8054686249648,21.835307321191,20.5362140647501
"130",127765.318038622,348947.294170824,324586.117745532,18.5602369887417,20.7254568571927,19.4091760686543
"131",124539.343476592,324375.602972327,311207.220418109,19.2539724836468,21.8569961462966,19.5782641134088
"132",118390.490175696,303907.836757119,279395.83911902,21.2894974484002,22.8328808959574,22.0038607050137
"133",114416.40448315,291426.847973296,281405.417725258,20.9386276414266,22.4983287147738,21.6601864950256
"134",120186.952451247,313153.873054728,306324.94051281,20.7343924921255,22.5253372608713,21.2690946889989
"135",112041.96306595,285636.081956042,234062.558163212,21.3793926444829,22.9587160094406,22.3773688816823
"136",114488.94725931,326510.864748479,295452.854555521,20.0341141149147,21.724533491855,21.0646205233188
"137",132966.255334194,316059.891184014,301068.014244161,19.9839924460533,22.4997412477284,20.594186666887
"138",126338.455832997,321363.625870845,296108.708590067,19.6468528045334,21.8122409608635,20.3874841885791
"139",123801.029906605,313972.654376678,290368.604844204,19.3278043308971,21.4576515600587,20.3526968500021
"140",110384.688011845,267526.746653537,248828.813683004,20.8616864114659,22.7567558288459,21.7013895161898
"141",107269.52817253,266801.146763458,250450.826709093,21.2540676992752,22.8745992738755,21.833731407092
"142",110404.029569482,270098.27647273,240283.304490173,21.4817354465899,23.1886013440875,22.3974328152036
"143",116438.317636672,294565.251804317,276825.774583511,20.8929625996186,22.67378783471,21.6929213009817
"144",124746.546788558,335233.016640717,306627.28605165,18.7891129955918,21.0534281864688,19.508836362694
"145",120682.908255361,313273.844971756,285566.927236306,20.3436514330773,22.468905784646,21.0729578076766
"146",116959.425392254,301036.721883985,276664.299716129,20.7057909734798,22.7532481307698,21.3184870573832
"147",113335.335076846,302615.891281516,271940.670814065,21.0812968674721,22.5456555239688,21.8472225729757
"148",125586.018742584,304211.8174752,285330.821455402,20.800483230685,23.0152783372802,21.415252058265
"149",117036.090173528,288456.889714931,272498.033796899,20.9899565962774,23.0708988920968,21.6393531462153
"150",120499.005274478,321831.691226692,287669.926576141,19.2742259579542,21.6093431331216,20.1741402342228
"151",121396.427133236,314739.68768998,289817.149580934,21.1087068000302,22.727271623125,21.7013269056206
"152",112572.889688539,291762.168527789,277461.521749116,21.0662494945699,22.7597707990768,21.6115746657589
"153",125098.098661603,330424.87171648,304558.94034329,19.9388254102934,21.8806244998792,20.9555600979481
"154",110726.068534408,318384.578720013,290578.480972606,20.5564786432707,22.310103733557,21.1969678909758
"155",115301.240003392,280376.101500926,242964.398903801,21.6797973390356,23.4050043215259,22.6433975847725
"156",107949.392778561,259507.086062687,232771.394368802,21.5705497682015,23.2921006318504,22.1781661809516
"157",116484.034888782,295120.515301185,273230.1168932,20.4992217229446,22.4756197128932,21.1047743836523
"158",115639.952900799,297462.904858301,275374.48636737,21.0066219289921,22.971018414855,21.6598413414576
"159",122993.666972402,286340.749626129,272502.865197916,21.1278564047509,22.8085929691291,21.6720196804009
"160",124144.921902362,346574.474611552,322461.648789553,19.2272554093567,21.3323524171955,19.8664899193374
"161",118593.849234688,299419.328716496,280950.006480304,19.9837793717006,22.1346164046327,20.9519262397873
"162",119375.258752536,301740.754609437,273276.025619245,21.334574002925,23.0864004071414,21.9421925737921
